consonant,voice,place,manner,prosody,condur,vowdur,subject,token
z,1,1,1,1,197,251,11,8
s,0,1,1,1,202,292,4,4
z,1,1,1,1,228,292,4,1
t,0,1,0,1,216,203,20,9
f,0,0,1,1,199,267,4,3
s,0,1,1,1,344,217,15,4
s,0,1,1,1,324,222,20,8
s,0,1,1,1,235,255,18,9
s,0,1,1,1,217,302,4,1
p,0,0,0,1,180,186,12,3
t,0,1,0,1,198,210,20,6
v,1,0,1,1,150,285,1,1
d,1,1,0,1,121,284,16,6
t,0,1,0,1,278,196,2,2
t,0,1,0,1,200,196,12,6
v,1,0,1,1,121,255,13,10
v,1,0,1,1,157,258,16,10
t,0,1,0,1,218,225,14,5
p,0,0,0,1,199,141,13,4
v,1,0,1,1,227,273,13,6
t,0,1,0,1,176,178,5,8
z,1,1,1,1,208,246,18,6
v,1,0,1,1,110,178,17,7
t,0,1,0,1,265,215,2,4
s,0,1,1,1,248,223,9,8
b,1,0,0,1,146,188,17,9
b,1,0,0,1,160,152,15,10
z,1,1,1,1,195,280,13,9
t,0,1,0,1,240,188,15,1
v,1,0,1,1,144,373,6,1
z,1,1,1,1,151,262,15,8
v,1,0,1,1,137,361,20,6
s,0,1,1,1,219,233,12,5
p,0,0,0,1,208,163,17,6
v,1,0,1,1,185,216,18,8
z,1,1,1,1,189,302,8,4
z,1,1,1,1,191,320,16,2
b,1,0,0,1,133,215,19,8
v,1,0,1,1,219,273,11,8
t,0,1,0,1,206,145,12,1
p,0,0,0,1,224,164,12,2
b,1,0,0,1,159,185,17,2
t,0,1,0,1,258,183,10,8
b,1,0,0,1,226,251,3,1
z,1,1,1,1,185,288,1,3
t,0,1,0,1,194,165,13,9
z,1,1,1,1,143,374,14,9
s,0,1,1,1,216,314,14,2
b,1,0,0,1,192,269,8,8
d,1,1,0,1,96,226,1,1
v,1,0,1,1,163,269,2,8
b,1,0,0,1,153,172,13,8
p,0,0,0,1,185,197,14,1
v,1,0,1,1,139,279,9,3
v,1,0,1,1,195,320,5,7
d,1,1,0,1,79,275,4,10
v,1,0,1,1,160,291,6,2
s,0,1,1,1,215,193,1,1
z,1,1,1,1,171,324,14,7
b,1,0,0,1,180,273,20,6
f,0,0,1,1,204,251,2,8
t,0,1,0,1,242,216,14,4
b,1,0,0,1,173,308,14,6
p,0,0,0,1,157,205,20,10
s,0,1,1,1,189,210,9,10
t,0,1,0,1,118,158,5,9
p,0,0,0,1,274,111,10,8
p,0,0,0,1,280,152,10,5
p,0,0,0,1,162,166,3,5
s,0,1,1,1,193,238,9,5
